clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
507134;381309;Ezra 7:21;link;#JM ;peil;836281;W;Conj;;836282;MNJ >NH >RTX#ST> MLK> ;Cmpl;;836283;#JM ;Pred;;836284;V<M ;Subj;;836285;LKL GZBRJ> ;Cmpl;;;;;;;;;
507208;381782;Ezra 8:17;link;>#JMH ;qal;836509;W;Conj;;836510;>#JMH ;Pred;;836511;BPJHM ;Cmpl;;836512;DBRJM ;Objc;;;;;;;;;;;;;
507456;383400;Ezra 10:44;link;J#JMW ;qal;837233;W;Conj;;837234;J#JMW ;Pred;;837235;BNJM00;Objc;;;;;;;;;;;;;;;;;
508134;387383;Nehemiah 8:8;link;#WM ;qal;839215;W;Conj;;839216;#WM ;Pred;;839217;#KL ;Objc;;;;;;;;;;;;;;;;;
508221;387888;Nehemiah 9:7;link;#MT ;qal;839463;W;Conj;;839464;#MT ;Pred;;839465;#MW ;Objc;;839466;>BRHM00;Objc;;;;;;;;;;;;;
509576;396888;1_Chronicles 10:10;link;J#JMW ;qal;843303;W;Conj;;843304;J#JMW ;Pred;;843305;>T&KLJW ;Objc;;843306;BJT >LHJHM ;Loca;Cmpl;;;;;;;;;;;;
509689;397528;1_Chronicles 11:25;link;J#JMHW ;qal;843675;W;Conj;;843676;J#JMHW ;PreO;;843677;DWJD ;Subj;;843678;<L&M#M<TW00;Cmpl;;;;;;;;;;;;;
510179;400392;1_Chronicles 17:9;link;#MTJ ;qal;845046;W;Conj;;845047;#MTJ ;Pred;;845048;MQWM ;Objc;;845049;L<MJ J#R>L ;Cmpl;Adju;;;;;;;;;;;;
510232;400645;1_Chronicles 17:21;link;#WM ;qal;845207;L#WM ;Pred;;845208;LK ;Adju;;845209;#M ;Objc;;845210;GDLWT WNR>WT ;Objc;;;;;;;;;;;;;
510282;400873;1_Chronicles 18:6;link;J#M ;qal;845348;W;Conj;;845349;J#M ;Pred;;845350;DWJD ;Subj;;845351;B>RM DRM#Q ;Cmpl;;;;;;;;;;;;;
