clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
503588;363258;Ecclesiastes 12:2;link;#BW ;qal;826003;W;Conj;;826004;#BW ;Pred;;826005;H<BJM ;Subj;;826006;>XR HG#M00;Adju;;;;;;;;;;;;;
503611;363374;Ecclesiastes 12:7;link;J#B ;qal;826072;W;Conj;;826073;J#B ;Pred;;826074;H<PR ;Subj;;826075;<L&H>RY ;Cmpl;;;;;;;;;;;;;
503613;363386;Ecclesiastes 12:7;link;T#WB ;qal;826078;W;Conj;;826079;HRWX ;Subj;;826080;T#WB ;Pred;;826081;>L&H>LHJM ;Cmpl;;;;;;;;;;;;;
503682;363666;Lamentations 1:8;link;T#B ;qal;826265;W;Conj;;826266;T#B ;Pred;;826267;>XWR00;Cmpl;;;;;;;;;;;;;;;;;
503698;363716;Lamentations 1:11;link;H#JB ;hif;826307;LH#JB ;Pred;;826308;NP# ;Objc;;;;;;;;;;;;;;;;;;;;;
503713;363760;Lamentations 1:13;link;H#JBNJ ;hif;826342;H#JBNJ ;PreO;;826343;>XWR ;Cmpl;;;;;;;;;;;;;;;;;;;;;
503730;363817;Lamentations 1:16;link;M#JB ;hif;826385;M#JB ;PreC;;826386;NP#J ;Objc;;;;;;;;;;;;;;;;;;;;;
503747;363882;Lamentations 1:19;link;J#JBW ;hif;826433;W;Conj;;826434;J#JBW ;Pred;;826435;>T&NP#M00;Objc;;;;;;;;;;;;;;;;;
503779;364003;Lamentations 2:3;link;H#JB ;hif;826520;H#JB ;Pred;;826521;>XWR ;Modi;Cmpl;826522;JMJNW ;Objc;;826523;MPNJ >WJB ;Cmpl;;;;;;;;;;;;;
503802;364111;Lamentations 2:8;link;H#JB ;hif;826588;L>&;Nega;;826589;H#JB ;Pred;;826590;JDW ;Objc;;;;;;;;;;;;;;;;;
503835;364249;Lamentations 2:14;link;H#JB ;hif;826674;LH#JB ;Pred;;826675;#BWTK ;Objc;;;;;;;;;;;;;;;;;;;;;
503891;364463;Lamentations 3:3;link;J#B ;qal;826815;>K BJ ;Cmpl;;826816;J#B ;Pred;;;;;;;;;;;;;;;;;;;;;
503928;364590;Lamentations 3:21;link;>#JB ;hif;826905;Z>T ;Objc;;826906;>#JB ;Pred;;826907;>L&LBJ ;Cmpl;;;;;;;;;;;;;;;;;
503968;364740;Lamentations 3:40;link;N#WBH ;qal;827009;W;Conj;;827010;N#WBH ;Pred;;827011;<D&JHWH00;Cmpl;;;;;;;;;;;;;;;;;
504018;364911;Lamentations 3:64;link;T#JB ;hif;827124;T#JB ;Pred;;827125;LHM ;Cmpl;;827126;GMWL ;Objc;;;;;;;;;;;;;;;;;
504161;365424;Lamentations 5:21;link;H#JBNW ;hif;827477;H#JBNW ;PreO;;827479;>LJK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
504163;365428;Lamentations 5:21;link;N#WBH ;qal;827480;W;Conj;;827481;N#WBH ;Pred;;;;;;;;;;;;;;;;;;;;;
504293;366375;Esther 2:14;link;#BH ;qal;827896;W;Conj;;827897;BBQR ;Time;;827898;HJ> ;Subj;;827899;#BH ;PreC;;827900;>L&BJT HN#JM #NJ ;Cmpl;;827901;>L&JD #<#GZ SRJS HMLK #MR HPJLG#JM ;Adju;;;;;
504467;367409;Esther 4:13;link;H#JB ;hif;828431;LH#JB ;Pred;;828432;>L&>STR ;Cmpl;;;;;;;;;;;;;;;;;;;;;
504476;367466;Esther 4:15;link;H#JB ;hif;828461;LH#JB ;Pred;;828462;>L&MRDKJ00;Cmpl;;;;;;;;;;;;;;;;;;;;;
504620;368242;Esther 6:12;link;J#B ;qal;828912;W;Conj;;828913;J#B ;Pred;;828914;MRDKJ ;Subj;;828915;>L&#<R HMLK ;Cmpl;;;;;;;;;;;;;
504673;368508;Esther 7:8;link;#B ;qal;829065;W;Conj;;829066;HMLK ;Subj;;829067;#B ;Pred;;829068;MGNT HBJTN ;Cmpl;;829069;>L&BJT M#TH HJJN ;Cmpl;;;;;;;;;
