clause#;word#;passage;;verb;;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
428554;10471;Genesis 22:11;;JQR> ;;611253;W;Conj;;611254;JQR> ;Pred;;611255;>LJW ;Cmpl;;611256;ML>K JHWH ;Subj;;611257;MN&H#MJM ;Loca;;;;;;;;;;;;;
428572;10545;Genesis 22:14;;JQR> ;;611309;W;Conj;;611310;JQR> ;Pred;;611311;>BRHM ;Subj;;611312;#M&HMQWM HHW> ;Objc;;;;;;;;;;;;;;;;;
428576;10563;Genesis 22:15;;JQR> ;;611320;W;Conj;;611321;JQR> ;Pred;;611322;ML>K JHWH ;Subj;;611323;>L&>BRHM ;Cmpl;;611324;#NJT ;Modi;;611325;MN&H#MJM00;Loca;;;;;;;;;
428938;12230;Genesis 24:57;;NQR> ;;612353;NQR> ;Pred;;612354;LN<R ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
428940;12239;Genesis 24:58;;JQR>W ;;612358;W;Conj;;612359;JQR>W ;Pred;;612360;LRBQH ;Cmpl;;;;;;;;;;;;;;;;;;;;;
429054;12821;Genesis 25:25;;JQR>W ;;612687;W;Conj;;612688;JQR>W ;Pred;;612689;#MW ;Objc;;612690;<#W00;Objc;;;;;;;;;;;;;;;;;
429057;12836;Genesis 25:26;;JQR> ;;612699;W;Conj;;612700;JQR> ;Pred;;612701;#MW ;Objc;;612702;J<QB ;Objc;;;;;;;;;;;;;;;;;
429075;12911;Genesis 25:30;;QR>&;;612755;<L&KN ;Adju;;612756;QR>&;Pred;;612757;#MW ;Objc;;612758;>DWM00;Objc;;;;;;;;;;;;;;;;;
429125;13149;Genesis 26:9;;JQR> ;;612911;W;Conj;;612912;JQR> ;Pred;;612913;>BJMLK ;Subj;;612914;LJYXQ ;Cmpl;;;;;;;;;;;;;;;;;
429163;13325;Genesis 26:18;;JQR> ;;613031;W;Conj;;613032;JQR> ;Pred;;613033;LHN ;Cmpl;;613034;#MWT K#MT ;Objc;;;;;;;;;;;;;;;;;
429164;13332;Genesis 26:18;;QR> ;;613035;>#R&;Rela;;613036;QR> ;Pred;;613037;LHN ;Cmpl;;613038;>BJW00;Subj;;;;;;;;;;;;;;;;;
429170;13361;Genesis 26:20;;JQR> ;;613054;W;Conj;;613055;JQR> ;Pred;;613056;#M&HB>R ;Objc;;613057;<#Q ;Objc;;;;;;;;;;;;;;;;;
429174;13378;Genesis 26:21;;JQR> ;;613067;W;Conj;;613068;JQR> ;Pred;;613069;#MH ;Objc;;613070;#VNH00;Objc;;;;;;;;;;;;;;;;;
429178;13394;Genesis 26:22;;JQR> ;;613081;W;Conj;;613082;JQR> ;Pred;;613083;#MH ;Objc;;613084;RXBWT ;Objc;;;;;;;;;;;;;;;;;
429191;13450;Genesis 26:25;;JQR> ;;613123;W;Conj;;613124;JQR> ;Pred;;613125;B#M JHWH ;Cmpl;;;;;;;;;;;;;;;;;;;;;
429225;13589;Genesis 26:33;;JQR> ;;613231;W;Conj;;613232;JQR> ;Pred;;613233;>TH ;Objc;;613234;#B<H ;Objc;;;;;;;;;;;;;;;;;
429234;13646;Genesis 27:1;;JQR> ;;613260;W;Conj;;613261;JQR> ;Pred;;613262;>T&<#W BNW HGDL ;Objc;;;;;;;;;;;;;;;;;;;;;
429404;14257;Genesis 27:36;;QR> ;;613708;H;Ques;;613709;KJ ;Conj;;613710;QR> ;Pred;;613711;#MW ;Objc;;613712;J<QB ;Objc;;;;;;;;;;;;;
429443;14408;Genesis 27:42;;TQR> ;;613822;W;Conj;;613823;TQR> ;Pred;;613824;LJ<QB BNH HQVN ;Cmpl;;;;;;;;;;;;;;;;;;;;;
429464;14500;Genesis 28:1;;JQR> ;;613884;W;Conj;;613885;JQR> ;Pred;;613886;JYXQ ;Subj;;613887;>L&J<QB ;Cmpl;;;;;;;;;;;;;;;;;
429540;14870;Genesis 28:19;;JQR> ;;614125;W;Conj;;614126;JQR> ;Pred;;614127;>T&#M&HMQWM HHW> ;Objc;;614128;BJT&>L ;Objc;;;;;;;;;;;;;;;;;
429678;15509;Genesis 29:32;;TQR> ;;614563;W;Conj;;614564;TQR> ;Pred;;614565;#MW ;Objc;;614566;R>WBN ;Objc;;;;;;;;;;;;;;;;;
429688;15544;Genesis 29:33;;TQR> ;;614595;W;Conj;;614596;TQR> ;Pred;;614597;#MW ;Objc;;614598;#M<WN00;Objc;;;;;;;;;;;;;;;;;
429694;15568;Genesis 29:34;;QR>&;;614616;<L&KN ;Adju;;614617;QR>&;Pred;;614618;#MW ;Objc;;614619;LWJ00;Objc;;;;;;;;;;;;;;;;;
429699;15586;Genesis 29:35;;QR>H ;;614631;<L&KN ;Adju;;614632;QR>H ;Pred;;614633;#MW ;Objc;;614634;JHWDH ;Objc;;;;;;;;;;;;;;;;;
429726;15687;Genesis 30:6;;QR>H ;;614715;<L&KN ;Adju;;614716;QR>H ;Pred;;614717;#MW ;Objc;;614718;DN00;Objc;;;;;;;;;;;;;;;;;
429732;15713;Genesis 30:8;;TQR> ;;614735;W;Conj;;614736;TQR> ;Pred;;614737;#MW ;Objc;;614738;NPTLJ00;Objc;;;;;;;;;;;;;;;;;
429741;15749;Genesis 30:11;;TQR> ;;614763;W;Conj;;614764;TQR> ;Pred;;614765;>T&#MW ;Objc;;614766;GD00;Objc;;;;;;;;;;;;;;;;;
429746;15771;Genesis 30:13;;TQR> ;;614779;W;Conj;;614780;TQR> ;Pred;;614781;>T&#MW ;Objc;;614782;>#R00;Objc;;;;;;;;;;;;;;;;;
429771;15887;Genesis 30:18;;TQR> ;;614863;W;Conj;;614864;TQR> ;Pred;;614865;#MW ;Objc;;614866;J##KR00;Objc;;;;;;;;;;;;;;;;;
429778;15918;Genesis 30:20;;TQR> ;;614888;W;Conj;;614889;TQR> ;Pred;;614890;>T&#MW ;Objc;;614891;ZBLWN00;Objc;;;;;;;;;;;;;;;;;
429780;15927;Genesis 30:21;;TQR> ;;614896;W;Conj;;614897;TQR> ;Pred;;614898;>T&#MH ;Objc;;614899;DJNH00;Objc;;;;;;;;;;;;;;;;;
429788;15956;Genesis 30:24;;TQR> ;;614921;W;Conj;;614922;TQR> ;Pred;;614923;>T&#MW ;Objc;;614924;JWSP ;Objc;;;;;;;;;;;;;;;;;
429882;16439;Genesis 31:4;;JQR> ;;615204;W;Conj;;615205;JQR> ;Pred;;615206;LRXL WLL>H ;Cmpl;;615207;H#DH ;Loca;;615208;>L&Y>NW00;Loca;;;;;;;;;;;;;
430069;17273;Genesis 31:47;;JQR>&;;615771;W;Conj;;615772;JQR>&;Pred;;615773;LW ;Cmpl;;615774;LBN ;Subj;;615775;JGR #HDWT> ;Objc;;;;;;;;;;;;;
430070;17280;Genesis 31:47;;QR> ;;615776;W;Conj;;615777;J<QB ;Subj;;615778;QR> ;Pred;;615779;LW ;Cmpl;;615780;GL<D00;Objc;;;;;;;;;;;;;
430073;17298;Genesis 31:48;;QR>&;;615787;<L&KN ;Adju;;615788;QR>&;Pred;;615789;#MW ;Objc;;615790;GL<D00;Objc;;;;;;;;;;;;;;;;;
430095;17416;Genesis 31:54;;JQR> ;;615859;W;Conj;;615860;JQR> ;Pred;;615861;L>XJW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
430109;17473;Genesis 32:3;;JQR> ;;615901;W;Conj;;615902;JQR> ;Pred;;615903;#M&HMQWM HHW> ;Objc;;615904;MXNJM00;Objc;;;;;;;;;;;;;;;;;
430224;18015;Genesis 32:31;;JQR> ;;616220;W;Conj;;616221;JQR> ;Pred;;616222;J<QB ;Subj;;616223;#M HMQWM ;Objc;;616224;PNJ>L ;Objc;;;;;;;;;;;;;
430309;18395;Genesis 33:17;;QR> ;;616475;<L&KN ;Adju;;616476;QR> ;Pred;;616477;#M&HMQWM ;Objc;;616478;SKWT00;Objc;;;;;;;;;;;;;;;;;
430318;18445;Genesis 33:20;;JQR>&;;616504;W;Conj;;616505;JQR>&;Pred;;616506;LW ;Cmpl;;616507;>L >LHJ J#R>L00;Objc;;;;;;;;;;;;;;;;;
430475;19188;Genesis 35:7;;JQR> ;;616968;W;Conj;;616969;JQR> ;Pred;;616970;LMQWM ;Cmpl;;616971;>L BJT&>L ;Objc;;;;;;;;;;;;;;;;;
430480;19220;Genesis 35:8;;JQR> ;;616985;W;Conj;;616986;JQR> ;Pred;;616987;#MW ;Objc;;616988;>LWN BKWT00;Objc;;;;;;;;;;;;;;;;;
430486;19245;Genesis 35:10;;JQR> ;;617005;L>&;Nega;;617006;JQR> ;Pred;;617007;#MK ;Subj;;617008;<WD ;Modi;;617009;J<QB ;Objc;;;;;;;;;;;;;
430488;19255;Genesis 35:10;;JQR> ;;617014;W;Conj;;617015;JQR> ;Pred;;617016;>T&#MW ;Objc;;617017;J#R>L00;Objc;;;;;;;;;;;;;;;;;
430505;19333;Genesis 35:15;;JQR> ;;617070;W;Conj;;617071;JQR> ;Pred;;617072;J<QB ;Subj;;617073;>T&#M HMQWM ;Objc;;617079;BJT&>L00;Objc;;;;;;;;;;;;;
430522;19391;Genesis 35:18;;TQR> ;;617115;W;Conj;;617116;TQR> ;Pred;;617117;#MW ;Objc;;617118;BN&>WNJ ;Objc;;;;;;;;;;;;;;;;;
430523;19396;Genesis 35:18;;QR>&;;617119;W;Conj;;617120;>BJW ;Subj;;617121;QR>&;Pred;;617122;LW ;Cmpl;;617123;BNJMJN00;Objc;;;;;;;;;;;;;
430831;20886;Genesis 38:3;;JQR> ;;618012;W;Conj;;618013;JQR> ;Pred;;618014;>T&#MW ;Objc;;618015;<R00;Objc;;;;;;;;;;;;;;;;;
430834;20897;Genesis 38:4;;TQR> ;;618022;W;Conj;;618023;TQR> ;Pred;;618024;>T&#MW ;Objc;;618025;>WNN00;Objc;;;;;;;;;;;;;;;;;
430837;20908;Genesis 38:5;;TQR> ;;618032;W;Conj;;618033;TQR> ;Pred;;618034;>T&#MW ;Objc;;618035;#LH ;Objc;;;;;;;;;;;;;;;;;
