clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
441432;78782;Numbers 14:18;link;PQD ;qal;650293;PQD ;PreC;;650294;<WN >BWT ;Objc;;650295;<L&BNJM <L&#L#JM W<L&RB<JM00;Cmpl;;;;;;;;;;;;;
441467;78978;Numbers 14:29;link;* PQDJKM ;qal;650404;BMDBR HZH ;Loca;;650405;* JPLW ;Pred;;650406;* PGRJKM WKL&PQDJKM LKL&MSPRKM MBN <#RJM #NH WM<LH ;Subj;;;;;;;;;;;;;
441765;80605;Numbers 16:29;link;JPQD ;nif;651309;W;Conj;;651310;PQDT KL&H>DM ;Subj;;651311;JPQD ;Pred;;651312;<LJHM ;Cmpl;;;;;;;;;
442847;86034;Numbers 26:7;link;* PQDJHM ;qal;654620;W;Conj;;654621;* JHJW ;Pred;;654622;* PQDJHM ;Subj;;654623;* #L#H W>RB<JM >LP W#B< M>WT W#L#JM00;PreC;;;;;;;;;
442873;86194;Numbers 26:18;link;PQDJHM ;qal;654673;>LH ;Subj;;654674;* M#PXT BNJ&GD LPQDJHM ;PreC;;654675;>RB<JM >LP WXM# M>WT00;Adju;;;;;;;;;;;;;
442883;86252;Numbers 26:22;link;PQDJHM ;qal;654693;>LH ;Subj;;654694;* M#PXT JHWDH LPQDJHM ;PreC;;654695;##H W#B<JM >LP WXM# M>WT00;Adju;;;;;;;;;;;;;
442889;86287;Numbers 26:25;link;PQDJHM ;qal;654701;>LH ;Subj;;654702;* M#PXT J##KR LPQDJHM ;PreC;;654703;>RB<H W##JM >LP W#L# M>WT00;Adju;;;;;;;;;;;;;
442894;86319;Numbers 26:27;link;PQDJHM ;qal;654708;>LH ;Subj;;654709;* M#PXT HZBWLNJ LPQDJHM ;PreC;;654710;##JM >LP WXM# M>WT00;Adju;;;;;;;;;;;;;
442912;86407;Numbers 26:34;link;* PQDJHM ;qal;654745;W;Conj;;654746;* PQDJHM ;Subj;;654747;* #NJM WXM#JM >LP W#B< M>WT00;PreC;;;;;;;;;;;;;
442919;86449;Numbers 26:37;link;PQDJHM ;qal;654757;>LH ;Subj;;654758;* M#PXT BNJ&>PRJM LPQDJHM ;PreC;;654759;#NJM W#L#JM >LP WXM# M>WT ;Adju;;;;;;;;;;;;;
442930;86512;Numbers 26:41;link;* PQDJHM ;qal;654775;W;Conj;;654776;* PQDJHM ;Subj;;654777;* XM#H W>RB<JM >LP W## M>WT00;PreC;;;;;;;;;;;;;
442934;86540;Numbers 26:43;link;* PQDJHM ;qal;654783;* KL&M#PXT H#WXMJ LPQDJHM ;Subj;;654784;* >RB<H W##JM >LP W>RB< M>WT00;PreC;;;;;;;;;;;;;;;;;
442943;86590;Numbers 26:47;link;PQDJHM ;qal;654795;>LH ;Subj;;654796;* M#PXT BNJ&>#R LPQDJHM ;PreC;;654797;#L#H WXM#JM >LP W>RB< M>WT00;Adju;;;;;;;;;;;;;
442950;86628;Numbers 26:50;link;* PQDJHM ;qal;654805;W;Conj;;654806;* PQDJHM ;Subj;;654807;* XM#H W>RB<JM >LP W>RB< M>WT00;PreC;;;;;;;;;;;;;
442951;86637;Numbers 26:51;link;PQWDJ ;qal;654808;>LH ;Subj;;654809;* PQWDJ BNJ J#R>L ;PreC;;654810;##&M>WT >LP W>LP #B< M>WT W#L#JM00;Adju;;;;;;;;;;;;;
442957;86680;Numbers 26:54;link;* PQDJW ;qal;654828;>J# ;Subj;;654829;* LPJ PQDJW ;Adju;;654830;* JTN ;Pred;;654831;NXLTW00;Objc;;;;;;;;;
442961;86707;Numbers 26:57;link;PQWDJ ;qal;654841;W;Conj;;654842;>LH ;Subj;;654843;* PQWDJ HLWJ LM#PXTM ;PreC;;;;;;;;;;;;;
442973;86805;Numbers 26:62;link;* PQDJHM ;qal;654876;W;Conj;;654877;* JHJW ;Pred;;654878;* PQDJHM ;Subj;;654879;* #L#H W<#RJM >LP ;PreC;;654880;KL&ZKR MBN&XD# WM<LH ;Adju;;;;;
442974;86819;Numbers 26:62;link;HTPQDW ;hotp;654881;KJ ;Conj;;654882;L> ;Nega;;654883;HTPQDW ;Pred;;654884;BTWK BNJ J#R>L ;Loca;Adju;;;;;;;;
442976;86834;Numbers 26:63;link;PQWDJ ;qal;654891;>LH ;Subj;;654892;* PQWDJ M#H W>L<ZR HKHN ;PreC;;;;;;;;;;;;;;;;;
442977;86841;Numbers 26:63;link;PQDW ;qal;654893;>#R ;Rela;;654894;PQDW ;Pred;;654895;>T&BNJ J#R>L ;Objc;;654896;B<RBT MW>B <L JRDN JRXW00;Loca;;;;;;;;;
442978;86858;Numbers 26:64;link;* PQWDJ ;qal;654897;W;Conj;;654898;* B>LH ;PreC;;654899;L>&;Nega;;654900;* HJH ;Pred;;654901;* >J# MPQWDJ M#H W>HRN HKHN ;Subj;;;;;
442979;86865;Numbers 26:64;link;PQDW ;qal;654902;>#R ;Rela;;654903;PQDW ;Pred;;654904;>T&BNJ J#R>L ;Objc;;654905;BMDBR SJNJ00;Loca;;;;;;;;;
443031;87174;Numbers 27:16;link;JPQD ;qal;655081;JPQD ;Pred;;655082;JHWH >LHJ HRWXT LKL&B#R ;Subj;;655083;>J# ;Objc;;655084;<L&H<DH00;Cmpl;;;;;;;;;
443293;89134;Numbers 31:14;link;* PQWDJ ;qal;655907;W;Conj;;655908;* JQYP ;Pred;;655909;M#H ;Subj;;655910;* <L PQWDJ HXJL #RJ H>LPJM W#RJ HM>WT ;Cmpl;;;;;;;;;
443366;89742;Numbers 31:48;link;* PQDJM ;qal;656147;W;Conj;;656148;* JQRBW ;Pred;;656149;>L&M#H ;Cmpl;;656150;* HPQDJM #RJ H>LPJM W#RJ HM>WT00;Subj;;;;;;;;;
443371;89771;Numbers 31:49;link;NPQD ;nif;656161;W;Conj;;656162;L>&;Nega;;656163;NPQD ;Pred;;656164;MMNW ;Cmpl;;656165;>J#00;Subj;;;;;
444543;96464;Deuteronomy 5:9;link;PQD ;qal;659776;PQD ;PreC;;659777;<WN >BWT ;Objc;;659778;<L&BNJM W<L&#L#JM W<L&RB<JM L#N>J00;Cmpl;;;;;;;;;;;;;
446067;104537;Deuteronomy 20:9;link;PQDW ;qal;664371;W;Conj;;664372;PQDW ;Pred;;664373;#RJ YB>WT ;Objc;;664374;BR># H<M00;Cmpl;;;;;;;;;
448494;117028;Joshua 8:10;link;JPQD ;qal;671623;W;Conj;;671624;JPQD ;Pred;;671625;>T&H<M ;Objc;;;;;;;;;;;;;
448788;118764;Joshua 10:18;link;HPQJDW ;hif;672570;W;Conj;;672571;HPQJDW ;Pred;;672572;<LJH ;Cmpl;;672573;>N#JM ;Objc;;;;;;;;;
451913;136735;Judges 15:1;link;JPQD ;qal;682209;W;Conj;;682210;JPQD ;Pred;;682211;#M#WN ;Subj;;682212;>T&>#TW ;Objc;;682213;BGDJ <ZJM ;Cmpl;Adju;;;;
452660;140177;Judges 20:15;link;JTPQDW ;hit;684408;W;Conj;;684409;JTPQDW ;Pred;;684410;BNJ BNJMN ;Subj;;684411;BJWM HHW> ;Time;;684412;MH<RJM ;Loca;;684413;<#RJM W##H >LP >J# ;PrAd;
452662;140201;Judges 20:15;link;HTPQDW ;hit;684416;LBD MJ#BJ HGB<H ;Adju;;684417;HTPQDW ;Pred;;684418;#B< M>WT >J# BXWR00;Subj;;;;;;;;;;;;;
452666;140234;Judges 20:17;link;HTPQDW ;hit;684428;W;Conj;;684429;>J# J#R>L ;Subj;;684430;HTPQDW ;Pred;;684431;LBD MBNJMN ;Adju;;684432;>RB< M>WT >LP >J# ;PrAd;Adju;;;;
452803;141033;Judges 21:3;link;HPQD ;nif;684874;LHPQD ;Pred;;684875;HJWM ;Time;;684876;MJ#R>L ;Cmpl;;684877;#BV >XD00;Subj;;;;;;;;;
452826;141158;Judges 21:9;link;JTPQD ;hit;684950;W;Conj;;684951;JTPQD ;Pred;;684952;H<M ;Subj;;;;;;;;;;;;;
453113;142488;1_Samuel 2:21;link;PQD ;qal;685816;KJ&;Conj;;685817;PQD ;Pred;;685818;JHWH ;Subj;;685819;>T&XNH ;Objc;;;;;;;;;
454071;147007;1_Samuel 11:8;link;JPQDM ;qal;688715;W;Conj;;688716;JPQDM ;PreO;;688717;BBZQ ;Loca;;;;;;;;;;;;;
454305;148123;1_Samuel 13:15;link;JPQD ;qal;689438;W;Conj;;689439;JPQD ;Pred;;689440;#>WL ;Subj;;689441;>T&H<M ;Objc;;689445;K## M>WT >J#00;Adju;;;;;
454401;148673;1_Samuel 14:17;link;PQDW&;qal;689740;PQDW&;Pred;;689741;N> ;Intj;;;;;;;;;;;;;;;;;
454404;148682;1_Samuel 14:17;link;JPQDW ;qal;689747;W;Conj;;689748;JPQDW ;Pred;;;;;;;;;;;;;;;;;
454584;149546;1_Samuel 15:2;link;PQDTJ ;qal;690299;PQDTJ ;Pred;;;;;;;;;;;;;;;;;;;;;
