clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr;phr9#;phr9_txt;phr9_function;phr9_corr
448240;115612;Joshua 6:12;link;J#>W ;qal;670849;W;Conj;;670850;J#>W ;Pred;;670851;HKHNJM ;Subj;;670852;>T&>RWN JHWH00;Objc;;;;;;;;;;;;;;;;;;;;;
448242;115622;Joshua 6:13;link;N#>JM ;qal;670855;N#>JM ;PreC;;670856;#B<H #WPRWT HJBLJM ;Objc;;670857;LPNJ >RWN JHWH ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
448594;117644;Joshua 8:33;link;N#>J ;qal;671954;W;Conj;;671955;KL&J#R>L WZQNJW W#VRJM W#PVJW ;Subj;;671956;* <MDJM ;PreC;;671957;* MZH WMZH L>RWN NGD HKHNJM HLWJM N#>J >RWN BRJT&JHWH ;Cmpl;BoundErr;671958;KGR K>ZRX ;Adju;;;;;;;;;;;;;;;;;
450008;127141;Joshua 24:19;link;J#> ;qal;676313;L>&;Nega;;676314;J#> ;Pred;;676315;LP#<KM WLXV>WTJKM00;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
450202;128284;Judges 2:4;link;J#>W ;qal;676964;W;Conj;;676965;J#>W ;Pred;;676966;H<M ;Subj;;676967;>T&QWLM ;Objc;;;;;;;;;;;;;;;;;;;;;
450340;129074;Judges 3:18;link;N#>J ;qal;677414;W;Conj;;677415;* J#LX ;Pred;;677416;* >T&H<M N#>J HMNXH00;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
451104;132737;Judges 8:28;link;#>T ;qal;679660;L#>T ;Pred;;679661;R>#M ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
451153;133014;Judges 9:7;link;J#> ;qal;679823;W;Conj;;679824;J#> ;Pred;;679825;QWLW ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
451337;133885;Judges 9:48;link;J#>H ;qal;680388;W;Conj;;680389;J#>H ;PreO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
451363;134022;Judges 9:54;link;N#> ;qal;680466;W;Conj;;680467;* JQR> ;Pred;;680468;MHRH ;Modi;;680469;* >L&HN<R N#> KLJW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
452203;137966;Judges 16:31;link;J#>W ;qal;683062;W;Conj;;683063;J#>W ;Pred;;683064;>TW ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
452520;139478;Judges 19:17;link;J#> ;qal;684009;W;Conj;;684010;J#> ;Pred;;684011;<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
452798;141016;Judges 21:2;link;J#>W ;qal;684861;W;Conj;;684862;J#>W ;Pred;;684863;QWLM ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
452888;141463;Judges 21:23;link;J#>W ;qal;685139;W;Conj;;685140;J#>W ;Pred;;685141;N#JM ;Objc;;685142;LMSPRM ;Adju;;685143;MN&HMXLLWT ;Cmpl;;;;;;;;;;;;;;;;;
453147;142656;1_Samuel 2:28;link;#>T ;qal;685927;L#>T ;Pred;;685928;>PWD ;Objc;;685929;LPNJ ;Adju;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;
453315;143356;1_Samuel 4:4;link;J#>W ;qal;686414;W;Conj;;686415;J#>W ;Pred;;686416;M#M ;Cmpl;;686417;>T >RWN BRJT&JHWH YB>WT ;Objc;;;;;;;;;;;;;;;;;;;;;
453536;144430;1_Samuel 6:13;link;J#>W ;qal;687077;W;Conj;;687078;J#>W ;Pred;;687079;>T&<JNJHM ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
453917;146290;1_Samuel 10:3;link;N#> ;qal;688238;>XD ;Subj;;688239;N#> ;PreC;;688240;#L#H GDJJM ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
