clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
430455;19098;Genesis 35:3;link;><#H&;qal;616910;W;Conj;;616911;><#H&;Pred;;616912;#M ;Loca;;616913;MZBX ;Objc;;616914;L>L ;Cmpl;Adju;;;;;;;;
430659;20220;Genesis 37:3;link;<#H ;qal;617516;W;Conj;;617517;<#H ;Pred;;617518;LW ;Cmpl;Adju;617519;KTNT PSJM00;Objc;;;;;;;;;;;;;
430853;20987;Genesis 38:10;link;<#H ;qal;618090;>#R ;Rela;;618091;<#H ;Pred;;;;;;;;;;;;;;;;;;;;;
430977;21460;Genesis 39:3;link;<#H ;qal;618435;>#R&;Rela;;618436;HW> ;Subj;;618437;<#H ;PreC;;;;;;;;;;;;;;;;;
431009;21618;Genesis 39:9;link;><#H ;qal;618545;W;Conj;;618546;>JK ;Ques;;618547;><#H ;Pred;;618548;HR<H HGDLH HZ>T ;Objc;;;;;;;;;;;;;
431018;21659;Genesis 39:11;link;<#WT ;qal;618571;L<#WT ;Pred;;618572;ML>KTW ;Objc;;;;;;;;;;;;;;;;;;;;;
431062;21815;Genesis 39:19;link;<#H ;qal;618681;KDBRJM H>LH ;Adju;;618682;<#H ;Pred;;618683;LJ ;Cmpl;Adju;618684;<BDK ;Subj;;;;;;;;;;;;;
431074;21885;Genesis 39:22;link;<#JM ;qal;618722;>#R ;Rela;;618723;<#JM ;PreC;;618724;#M ;Loca;;;;;;;;;;;;;;;;;
431073;21889;Genesis 39:22;link;<#H00;qal;618720;W;Conj;;618721;>T KL&;Objc;;618725;HW> ;Subj;;618726;HJH ;Pred;;618727;<#H00;PreC;;;;;;;;;
431078;21908;Genesis 39:23;link;<#H ;qal;618736;>#R&;Rela;;618737;HW> ;Subj;;618738;<#H ;PreC;;;;;;;;;;;;;;;;;
431127;22164;Genesis 40:14;link;<#JT&;qal;618895;W;Conj;;618896;<#JT&;Pred;;618897;N> ;Intj;;618898;<MDJ ;Cmpl;Adju;618899;XSD ;Objc;;;;;;;;;
