clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
509257;394460;1_Chronicles 6:40;link;JTNW ;qal;842384;W;Conj;;842385;JTNW ;Pred;;842386;LHM ;Cmpl;;842387;>T&XBRWN B>RY JHWDH W>T&MGR#JH SBJBTJH00;Objc;;;;;;;;;;;;;;;;;
509258;394479;1_Chronicles 6:41;link;NTNW ;qal;842388;W;Conj;;842389;>T&#DH H<JR W>T&XYRJH ;Objc;;842390;NTNW ;Pred;;842391;LKLB BN&JPNH00;Cmpl;;;;;;;;;;;;;;;;;
509259;394488;1_Chronicles 6:42;link;NTNW ;qal;842392;W;Conj;;842393;LBNJ >HRN ;Cmpl;;842394;NTNW ;Pred;;842395;>T&<RJ HMQLV >T&XBRWN W>T&LBNH W>T&MGR#JH W>T&JTR W>T&>#TM< W>T&MGR#JH00;Objc;;;;;;;;;;;;;;;;;
509268;394631;1_Chronicles 6:49;link;JTNW ;qal;842423;W;Conj;;842424;JTNW ;Pred;;842425;BNJ&J#R>L ;Subj;;842426;LLWJM ;Cmpl;;842427;>T&H<RJM W>T&MGR#JHM00;Objc;;;;;;;;;;;;;
509269;394644;1_Chronicles 6:50;link;JTNW ;qal;842428;W;Conj;;842429;JTNW ;Pred;;842430;BGWRL ;Adju;;842431;MMVH BNJ&JHWDH WMMVH BNJ&#M<WN WMMVH BNJ BNJMN ;Adju;;842432;>T H<RJM H>LH ;Objc;;;;;;;;;;;;;
509273;394685;1_Chronicles 6:52;link;JTNW ;qal;842443;W;Conj;;842444;JTNW ;Pred;;842445;LHM ;Cmpl;;842446;>T&<RJ HMQLV >T&#KM W>T&MGR#JH BHR >PRJM W>T&GZR W>T&MGR#JH00;Objc;;;;;;;;;;;;;;;;;
509772;398024;1_Chronicles 12:19;link;JTNM ;qal;843852;W;Conj;;843853;JTNM ;PreO;;843854;BR>#J HGDWD00;Cmpl;;;;;;;;;;;;;;;;;;;;;
509908;398885;1_Chronicles 14:10;link;NTTM ;qal;844273;W;Conj;;844274;NTTM ;PreO;;844275;BJDJ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
509911;398894;1_Chronicles 14:10;link;NTTJM ;qal;844281;W;Conj;;844282;NTTJM ;PreO;;844283;BJDK00;Cmpl;;;;;;;;;;;;;;;;;;;;;
509936;399029;1_Chronicles 14:17;link;NTN ;qal;844365;W;Conj;;844366;JHWH ;Subj;;844367;NTN ;Pred;;844368;>T&PXDW ;Objc;;844369;<L&KL&HGWJM00;Cmpl;;;;;;;;;;;;;
510026;399656;1_Chronicles 16:4;link;JTN ;qal;844639;W;Conj;;844640;JTN ;Pred;;844641;LPNJ >RWN JHWH ;Cmpl;;844642;MN&HLWJM ;Objc;;844643;M#RTJM ;Objc;;;;;;;;;;;;;
510035;399732;1_Chronicles 16:7;link;NTN ;qal;844667;BJWM HHW> ;Time;;844668;>Z ;Time;;844669;NTN ;Pred;;844670;DWJD ;Subj;;844671;BR># ;Adju;;;;;;;;;;;;;
510063;399832;1_Chronicles 16:18;link;>TN ;qal;844729;LK ;Cmpl;;844730;>TN ;Pred;;844731;>RY&KN<N ;Objc;;844732;XBL NXLTKM00;Objc;;;;;;;;;;;;;;;;;
510235;400662;1_Chronicles 17:22;link;TTN ;qal;845217;W;Conj;;845218;TTN ;Pred;;845219;>T&<MK J#R>L ;Objc;;845220;LK ;Adju;;845221;L<M ;Cmpl;;845222;<D&<WLM ;Time;;;;;;;;;
510366;401378;1_Chronicles 19:11;link;NTN ;qal;845627;W;Conj;;845628;>T JTR H<M ;Objc;;845629;NTN ;Pred;;845630;BJD >B#J >XJW ;Cmpl;;;;;;;;;;;;;;;;;
510462;401872;1_Chronicles 21:5;link;JTN ;qal;845932;W;Conj;;845933;JTN ;Pred;;845934;JW>B ;Subj;;845935;>T&MSPR MPQD&H<M ;Objc;;845936;>L&DWJD ;Cmpl;;;;;;;;;;;;;
510504;402070;1_Chronicles 21:14;link;JTN ;qal;846063;W;Conj;;846064;JTN ;Pred;;846065;JHWH ;Subj;;846066;DBR ;Objc;;846067;BJ#R>L ;Adju;;;;;;;;;;;;;
510551;402283;1_Chronicles 21:22;link;TNH&;qal;846202;TNH&;Pred;;846203;LJ ;Cmpl;;846204;MQWM HGRN ;Objc;;;;;;;;;;;;;;;;;;;;;
510553;402297;1_Chronicles 21:22;link;TNHW ;qal;846210;BKSP ML> ;Adju;;846211;TNHW ;PreO;;846212;LJ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
510560;402324;1_Chronicles 21:23;link;NTTJ ;qal;846230;NTTJ ;Pred;;846231;HBQR WHMWRGJM WHXVJM ;Objc;;846232;L<LWT ;Adju;;846233;L<YJM ;Adju;;846234;LMNXH ;Adju;;;;;;;;;;;;;
510561;402344;1_Chronicles 21:23;link;NTTJ00;qal;846235;HKL ;Objc;;846236;NTTJ00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
510568;402371;1_Chronicles 21:25;link;JTN ;qal;846256;W;Conj;;846257;JTN ;Pred;;846258;DWJD ;Subj;;846259;L>RNN ;Cmpl;;846260;BMQWM ;Adju;;846261;#QLJ ZHB M#QL ## M>WT00;Objc;;;;;;;;;
510625;402685;1_Chronicles 22:9;link;>TN ;qal;846434;W;Conj;;846435;#LWM W#QV ;Objc;;846436;>TN ;Pred;;846437;<L&J#R>L ;Cmpl;;846438;BJMJW00;Time;;;;;;;;;;;;;
510636;402731;1_Chronicles 22:12;link;JTN&;qal;846470;>K ;Modi;;846471;JTN&;Pred;;846472;LK ;Cmpl;;846473;JHWH ;Subj;;846474;#KL WBJNH ;Objc;;;;;;;;;;;;;
510662;402879;1_Chronicles 22:18;link;NTN ;qal;846547;KJ ;Conj;;846548;NTN ;Pred;;846549;BJDJ ;Cmpl;;846550;>T J#BJ H>RY ;Objc;;;;;;;;;;;;;;;;;
