clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
450738;130895;Judges 6:21;link;HLK ;qal;678558;W;Conj;;678559;ML>K JHWH ;Subj;;678560;HLK ;Pred;;678561;M<JNJW00;Cmpl;;;;;;;;;
450865;131498;Judges 7:4;link;JLK ;qal;678942;ZH ;Subj;;678943;JLK ;Pred;;678944;>TK ;Cmpl;;;;;;;;;;;;;
450866;131501;Judges 7:4;link;JLK ;qal;678945;HW> ;Subj;;678946;JLK ;Pred;;678947;>TK ;Cmpl;;;;;;;;;;;;;
450869;131510;Judges 7:4;link;JLK ;qal;678953;ZH ;Subj;;678954;L>&;Nega;;678955;JLK ;Pred;;678956;<MK ;Cmpl;Adju;;;;;;;;
450870;131514;Judges 7:4;link;JLK00;qal;678957;HW> ;Subj;;678958;L> ;Nega;;678959;JLK00;Pred;;;;;;;;;;;;;
450888;131600;Judges 7:7;link;JLKW ;qal;679011;W;Conj;;679012;KL&H<M ;Subj;;679013;JLKW ;Pred;;;;;;;;;;;;;
450989;132143;Judges 8:1;link;HLKT ;qal;679310;KJ ;Conj;;679311;HLKT ;Pred;;;;;;;;;;;;;;;;;
451106;132749;Judges 8:29;link;JLK ;qal;679667;W;Conj;;679668;JLK ;Pred;;679669;JRB<L BN&JW># ;Subj;;;;;;;;;;;;;
451126;132859;Judges 9:1;link;JLK ;qal;679737;W;Conj;;679738;JLK ;Pred;;679739;>BJMLK BN&JRB<L ;Subj;;679740;#KMH >L&>XJ >MW ;Cmpl;;;;;;;;;
451141;132951;Judges 9:4;link;JLKW ;qal;679788;W;Conj;;679789;JLKW ;Pred;;679790;>XRJW00;Cmpl;;;;;;;;;;;;;
451147;132988;Judges 9:6;link;JLKW ;qal;679806;W;Conj;;679807;JLKW ;Pred;;;;;;;;;;;;;;;;;
451151;133006;Judges 9:7;link;JLK ;qal;679818;W;Conj;;679819;JLK ;Pred;;;;;;;;;;;;;;;;;
451159;133029;Judges 9:8;link;HLWK ;qal;679838;HLWK ;Modi;;679839;HLKW ;Pred;;679840;H<YJM ;Subj;;;;;;;;;;;;;
451166;133060;Judges 9:9;link;HLKTJ ;qal;679860;W;Conj;;679861;HLKTJ ;Pred;;;;;;;;;;;;;;;;;
451169;133073;Judges 9:10;link;LKJ&;qal;679868;LKJ&;Pred;;679869;>T ;Subj;;;;;;;;;;;;;;;;;
451173;133092;Judges 9:11;link;HLKTJ ;qal;679879;W;Conj;;679880;HLKTJ ;Pred;;;;;;;;;;;;;;;;;
451176;133105;Judges 9:12;link;LKJ&;qal;679887;LKJ&;Pred;;679888;>T ;Subj;;;;;;;;;;;;;;;;;
451181;133124;Judges 9:13;link;HLKTJ ;qal;679901;W;Conj;;679902;HLKTJ ;Pred;;;;;;;;;;;;;;;;;
451184;133138;Judges 9:14;link;LK ;qal;679909;LK ;Pred;;679910;>TH ;Subj;;;;;;;;;;;;;;;;;
451215;133311;Judges 9:21;link;JLK ;qal;680014;W;Conj;;680015;JLK ;Pred;;680016;B>RH ;Cmpl;;;;;;;;;;;;;
451346;133912;Judges 9:49;link;JLKW ;qal;680409;W;Conj;;680410;JLKW ;Pred;;680411;>XRJ >BJMLK ;Cmpl;;;;;;;;;;;;;
451350;133942;Judges 9:50;link;JLK ;qal;680423;W;Conj;;680424;JLK ;Pred;;680425;>BJMLK ;Subj;;680426;>L&TBY ;Cmpl;;;;;;;;;
451373;134049;Judges 9:55;link;JLKW ;qal;680493;W;Conj;;680494;JLKW ;Pred;;;;;;;;;;;;;;;;;
451425;134361;Judges 10:14;link;LKW ;qal;680652;LKW ;Pred;;;;;;;;;;;;;;;;;;;;;
451464;134546;Judges 11:5;link;JLKW ;qal;680773;W;Conj;;680774;JLKW ;Pred;;680775;ZQNJ GL<D ;Subj;;;;;;;;;;;;;
451467;134560;Judges 11:6;link;LKH ;qal;680782;LKH ;Pred;;;;;;;;;;;;;;;;;;;;;
451477;134607;Judges 11:8;link;HLKT ;qal;680818;W;Conj;;680819;HLKT ;Pred;;680820;<MNW ;Cmpl;Adju;;;;;;;;;;;;
451490;134666;Judges 11:11;link;JLK ;qal;680860;W;Conj;;680861;JLK ;Pred;;680862;JPTX ;Subj;;680863;<M&ZQNJ GL<D ;Cmpl;Adju;;;;;;;;
451509;134782;Judges 11:16;link;JLK ;qal;680926;W;Conj;;680927;JLK ;Pred;;680928;J#R>L ;Subj;;680929;BMDBR ;Cmpl;;680930;<D&JM&SWP ;Loca;Cmpl;;;;
451518;134826;Judges 11:18;link;JLK ;qal;680957;W;Conj;;680958;JLK ;Pred;;680959;BMDBR ;Cmpl;;;;;;;;;;;;;
451603;135292;Judges 11:37;link;>LKH ;qal;681230;W;Conj;;681231;>LKH ;Pred;;;;;;;;;;;;;;;;;
451607;135307;Judges 11:38;link;LKJ ;qal;681241;LKJ ;Pred;;;;;;;;;;;;;;;;;;;;;
451609;135314;Judges 11:38;link;TLK ;qal;681246;W;Conj;;681247;TLK ;Pred;;681248;HJ> WR<WTJH ;Subj;;;;;;;;;;;;;
451617;135355;Judges 11:40;link;TLKNH ;qal;681274;MJMJM JMJMH ;Time;;681275;TLKNH ;Pred;;681276;BNWT J#R>L ;Subj;;;;;;;;;;;;;
451625;135393;Judges 12:1;link;LKT ;qal;681297;LLKT ;Pred;;681298;<MK ;Cmpl;Adju;;;;;;;;;;;;;;;;
451741;135935;Judges 13:11;link;JLK ;qal;681663;W;Conj;;681664;JLK ;Pred;;681665;MNWX ;Subj;;681666;>XRJ >#TW ;Cmpl;;;;;;;;;
451815;136281;Judges 14:3;link;HWLK ;qal;681897;KJ&;Conj;;681898;>TH ;Subj;;681899;HWLK ;PreC;;;;;;;;;;;;;
451844;136416;Judges 14:9;link;JLK ;qal;681986;W;Conj;;681987;JLK ;Pred;;681988;HLWK W>KL ;Modi;Adju;;;;;;;;;;;;
451845;136421;Judges 14:9;link;JLK ;qal;681989;W;Conj;;681990;JLK ;Pred;;681991;>L&>BJW W>L&>MW ;Cmpl;;;;;;;;;;;;;
451927;136793;Judges 15:4;link;JLK ;qal;682256;W;Conj;;682257;JLK ;Pred;;682258;#M#WN ;Subj;;;;;;;;;;;;;
452019;137190;Judges 16:1;link;JLK ;qal;682522;W;Conj;;682523;JLK ;Pred;;682524;#M#WN ;Subj;;682525;<ZTH ;Cmpl;;;;;;;;;
452239;138147;Judges 17:8;link;JLK ;qal;683176;W;Conj;;683177;JLK ;Pred;;683178;H>J# ;Subj;;683179;MH<JR MBJT LXM JHWDH ;Cmpl;;;;;;;;;
452248;138188;Judges 17:9;link;HLK ;qal;683200;W;Conj;;683201;>NKJ ;Subj;;683202;HLK ;PreC;;;;;;;;;;;;;
452255;138223;Judges 17:10;link;JLK ;qal;683221;W;Conj;;683222;JLK ;Pred;;683223;HLWJ00;Subj;;;;;;;;;;;;;
452274;138346;Judges 18:2;link;LKW ;qal;683290;LKW ;Pred;;;;;;;;;;;;;;;;;;;;;
452293;138425;Judges 18:5;link;HLKJM ;qal;683347;>#R ;Rela;;683348;>NXNW ;Subj;;683349;HLKJM ;PreC;;683350;<LJH00;Cmpl;;;;;;;;;
452295;138432;Judges 18:6;link;LKW ;qal;683355;LKW ;Pred;;683356;L#LWM ;Adju;;;;;;;;;;;;;;;;;
452297;138439;Judges 18:6;link;TLKW&;qal;683359;>#R ;Rela;;683360;TLKW&;Pred;;683361;BH00;Cmpl;;;;;;;;;;;;;
452298;138442;Judges 18:7;link;JLKW ;qal;683362;W;Conj;;683363;JLKW ;Pred;;683364;XM#T H>N#JM ;Subj;;;;;;;;;;;;;
452317;138520;Judges 18:9;link;LKT ;qal;683421;LLKT ;Pred;;;;;;;;;;;;;;;;;;;;;
452335;138616;Judges 18:14;link;HLKJM ;qal;683470;H;Rela;;683471;HLKJM ;PreC;;;;;;;;;;;;;;;;;
452349;138687;Judges 18:17;link;HLKJM ;qal;683509;H;Rela;;683510;HLKJM ;PreC;;;;;;;;;;;;;;;;;
452363;138764;Judges 18:19;link;LK ;qal;683547;W;Conj;;683548;LK ;Pred;;683549;<MNW ;Cmpl;Adju;;;;;;;;;;;;
452372;138819;Judges 18:21;link;JLKW ;qal;683574;W;Conj;;683575;JLKW ;Pred;;;;;;;;;;;;;;;;;
452388;138885;Judges 18:24;link;TLKW ;qal;683614;W;Conj;;683615;TLKW ;Pred;;;;;;;;;;;;;;;;;
452396;138919;Judges 18:26;link;JLKW ;qal;683641;W;Conj;;683642;JLKW ;Pred;;683643;BNJ&DN ;Subj;;683644;LDRKM ;Cmpl;;;;;;;;;
452430;139105;Judges 19:2;link;TLK ;qal;683760;W;Conj;;683761;TLK ;Pred;;683762;M>TW ;Cmpl;;683763;>L&BJT >BJH >L&BJT LXM JHWDH ;Cmpl;;;;;;;;;
452433;139124;Judges 19:3;link;JLK ;qal;683771;W;Conj;;683772;JLK ;Pred;;683773;>XRJH ;Cmpl;;;;;;;;;;;;;
452449;139185;Judges 19:5;link;LKT ;qal;683812;LLKT ;Pred;;;;;;;;;;;;;;;;;;;;;
452452;139199;Judges 19:5;link;TLKW00;qal;683820;W;Conj;;683821;>XR ;Time;;683822;TLKW00;Pred;;;;;;;;;;;;;
452461;139228;Judges 19:7;link;LKT ;qal;683845;LLKT ;Pred;;;;;;;;;;;;;;;;;;;;;
452466;139249;Judges 19:8;link;LKT ;qal;683858;LLKT ;Pred;;;;;;;;;;;;;;;;;;;;;
452473;139272;Judges 19:9;link;LKT ;qal;683875;LLKT ;Pred;;;;;;;;;;;;;;;;;;;;;
452482;139309;Judges 19:9;link;HLKT ;qal;683899;W;Conj;;683900;HLKT ;Pred;;683901;L>HLK00;Cmpl;;;;;;;;;;;;;
452486;139322;Judges 19:10;link;JLK ;qal;683909;W;Conj;;683910;JLK ;Pred;;;;;;;;;;;;;;;;;
452494;139352;Judges 19:11;link;LKH&;qal;683932;LKH&;Pred;;683933;N> ;Intj;;;;;;;;;;;;;;;;;
452502;139388;Judges 19:13;link;LKH ;qal;683957;LKH ;Pred;;;;;;;;;;;;;;;;;;;;;
452506;139407;Judges 19:14;link;JLKW ;qal;683966;W;Conj;;683967;JLKW ;Pred;;;;;;;;;;;;;;;;;
452523;139498;Judges 19:17;link;TLK ;qal;684018;>NH ;Cmpl;;684019;TLK ;Pred;;;;;;;;;;;;;;;;;
452528;139519;Judges 19:18;link;>LK ;qal;684031;W;Conj;;684032;>LK ;Pred;;684033;<D&BJT LXM JHWDH ;Cmpl;;;;;;;;;;;;;
452529;139528;Judges 19:18;link;HLK ;qal;684034;W;Conj;;684035;>T&BJT JHWH ;Cmpl;;684036;>NJ ;Subj;;684037;HLK ;PreC;;;;;;;;;
452578;139775;Judges 19:27;link;LKT ;qal;684183;LLKT ;Pred;;684184;LDRKW ;Cmpl;;;;;;;;;;;;;;;;;
452583;139797;Judges 19:28;link;NLKH ;qal;684197;W;Conj;;684198;NLKH ;Pred;;;;;;;;;;;;;;;;;
452587;139811;Judges 19:28;link;JLK ;qal;684208;W;Conj;;684209;JLK ;Pred;;684210;LMQMW00;Cmpl;;;;;;;;;;;;;
452632;140032;Judges 20:8;link;NLK ;qal;684334;L> ;Nega;;684335;NLK ;Pred;;;;;;;;;;;;;;;;;
452832;141188;Judges 21:10;link;LKW ;qal;684967;LKW ;Pred;;;;;;;;;;;;;;;;;;;;;
452870;141389;Judges 21:20;link;LKW ;qal;685085;LKW ;Pred;;;;;;;;;;;;;;;;;;;;;
452878;141422;Judges 21:21;link;HLKTM ;qal;685107;W;Conj;;685108;HLKTM ;Pred;;685109;>RY BNJMN00;Cmpl;;;;;;;;;;;;;
452890;141473;Judges 21:23;link;JLKW ;qal;685146;W;Conj;;685147;JLKW ;Pred;;;;;;;;;;;;;;;;;
452894;141487;Judges 21:24;link;JTHLKW ;hit;685157;W;Conj;;685158;JTHLKW ;Pred;;685159;M#M ;Cmpl;;685160;BNJ&J#R>L ;Subj;;685161;B<T HHJ> ;Time;;;;;
