clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
504559;367901;Esther 5:14;link;B>&;qal;828718;W;Conj;;828719;B>&;Pred;;828720;<M&HMLK ;Adju;;828721;>L&HM#TH ;Cmpl;;828722;#MX ;PrAd;;;;;;;;;;;;;
504564;367932;Esther 6:1;link;HBJ> ;hif;828735;LHBJ> ;Pred;;828736;>T&SPR HZKRNWT DBRJ HJMJM ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
504576;368007;Esther 6:4;link;B> ;qal;828773;W;Conj;;828774;HMN ;Subj;;828775;B> ;Pred;;828776;LXYR BJT&HMLK HXJYWNH ;Cmpl;;;;;;;;;;;;;;;;;
504583;368046;Esther 6:5;link;JBW>00;qal;828796;JBW>00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
504584;368048;Esther 6:6;link;JBW> ;qal;828797;W;Conj;;828798;JBW> ;Pred;;828799;HMN ;Subj;;;;;;;;;;;;;;;;;;;;;
504595;368095;Esther 6:8;link;JBJ>W ;hif;828830;JBJ>W ;Pred;;828831;LBW# MLKWT WSWS ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
504633;368309;Esther 6:14;link;HBJ> ;hif;828954;LHBJ> ;Pred;;828955;>T&HMN ;Objc;;828956;>L&HM#TH ;Cmpl;;;;;;;;;;;;;;;;;;;;;
504635;368319;Esther 7:1;link;JB> ;qal;828960;W;Conj;;828961;JB> ;Pred;;828962;HMLK WHMN ;Subj;;;;;;;;;;;;;;;;;;;;;
504691;368629;Esther 8:1;link;B> ;qal;829130;W;Conj;;829131;MRDKJ ;Subj;;829132;B> ;Pred;;829133;LPNJ HMLK ;Cmpl;;;;;;;;;;;;;;;;;
504799;369371;Esther 9:11;link;B> ;qal;829462;BJWM HHW> ;Time;;829463;B> ;Pred;;829464;MSPR HHRWGJM B#W#N HBJRH ;Subj;;829465;LPNJ HMLK00;Cmpl;;;;;;;;;;;;;;;;;
