clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
443959;93261;Deuteronomy 1:22;link;J#BW ;hif;658031;W;Conj;;658032;J#BW ;Pred;;658033;>TNW ;Objc;Cmpl;658034;DBR >T&HDRK W>T H<RJM ;Objc;;;;;;;;;;;;;
443971;93320;Deuteronomy 1:25;link;J#BW ;hif;658069;W;Conj;;658070;J#BW ;Pred;;658071;>TNW ;Objc;Cmpl;658072;DBR ;Objc;;;;;;;;;;;;;
444068;93715;Deuteronomy 1:45;link;T#BW ;qal;658329;W;Conj;;658330;T#BW ;Pred;;;;;;;;;;;;;;;;;;;;;
444273;94947;Deuteronomy 3:20;link;#BTM ;qal;658956;W;Conj;;658957;#BTM ;Pred;;;;;;;;;;;;;;;;;;;;;
444450;95848;Deuteronomy 4:30;link;#BT ;qal;659480;W;Conj;;659481;#BT ;Pred;;659482;<D&JHWH >LHJK ;Cmpl;;;;;;;;;;;;;;;;;
444487;96068;Deuteronomy 4:39;link;H#BT ;hif;659594;W;Conj;;659595;H#BT ;Pred;;659596;>L&LBBK ;Cmpl;;;;;;;;;;;;;;;;;
444622;96883;Deuteronomy 5:30;link;#WBW ;qal;660009;#WBW ;Pred;;660010;LKM ;Supp;;660011;L>HLJKM00;Cmpl;;;;;;;;;;;;;;;;;
445484;101425;Deuteronomy 13:18;link;J#WB ;qal;662579;LM<N ;Conj;;662580;J#WB ;Pred;;662581;JHWH ;Subj;;662582;MXRWN >PW ;Cmpl;;;;;;;;;;;;;
445821;103321;Deuteronomy 17:16;link;J#JB ;hif;663625;W;Conj;;663626;L>&;Nega;;663627;J#JB ;Pred;;663628;>T&H<M ;Objc;;663629;MYRJMH ;Cmpl;;;;;;;;;
445825;103336;Deuteronomy 17:16;link;#WB ;qal;663638;L#WB ;Pred;;663639;BDRK HZH ;Cmpl;;663640;<WD00;Modi;;;;;;;;;;;;;;;;;
446042;104434;Deuteronomy 20:5;link;J#B ;qal;664302;W;Conj;;664303;J#B ;Pred;;664304;LBJTW ;Cmpl;;;;;;;;;;;;;;;;;
446049;104458;Deuteronomy 20:6;link;J#B ;qal;664321;W;Conj;;664322;J#B ;Pred;;664323;LBJTW ;Cmpl;;;;;;;;;;;;;;;;;
446056;104482;Deuteronomy 20:7;link;J#B ;qal;664340;W;Conj;;664341;J#B ;Pred;;664342;LBJTW ;Cmpl;;;;;;;;;;;;;;;;;
446064;104516;Deuteronomy 20:8;link;J#B ;qal;664359;W;Conj;;664360;J#B ;Pred;;664361;LBJTW ;Cmpl;;;;;;;;;;;;;;;;;
446219;105292;Deuteronomy 22:1;link;H#B ;hif;664842;H#B ;Modi;;664843;T#JBM ;PreO;;664844;L>XJK00;Cmpl;;;;;;;;;;;;;;;;;
446225;105318;Deuteronomy 22:2;link;H#BTW ;hif;664863;W;Conj;;664864;H#BTW ;PreO;;664865;LW00;Cmpl;;;;;;;;;;;;;;;;;
446381;106117;Deuteronomy 23:14;link;#BT ;qal;665368;W;Conj;;665369;#BT ;Pred;;;;;;;;;;;;;;;;;;;;;
446388;106148;Deuteronomy 23:15;link;#B ;qal;665391;W;Conj;;665392;#B ;Pred;;665393;M>XRJK00;Cmpl;;;;;;;;;;;;;;;;;
446444;106412;Deuteronomy 24:4;link;#WB ;qal;665569;L#WB ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
446483;106587;Deuteronomy 24:13;link;H#B ;hif;665686;H#B ;Modi;;665687;T#JB ;Pred;;665688;LW ;Cmpl;;665689;>T&H<BWV ;Objc;;;;;;;;;;;;;
446509;106717;Deuteronomy 24:19;link;T#WB ;qal;665774;L> ;Nega;;665775;T#WB ;Pred;;;;;;;;;;;;;;;;;;;;;
446896;108697;Deuteronomy 28:31;link;J#WB ;qal;666878;W;Conj;;666879;L> ;Nega;;666880;J#WB ;Pred;;666881;LK ;Cmpl;;;;;;;;;;;;;
446996;109277;Deuteronomy 28:60;link;H#JB ;hif;667201;W;Conj;;667202;H#JB ;Pred;;667203;BK ;Cmpl;;667204;>T KL&MDWH MYRJM ;Objc;;;;;;;;;;;;;
447031;109470;Deuteronomy 28:68;link;H#JBK ;hif;667315;W;Conj;;667316;H#JBK ;PreO;;667317;JHWH ;Subj;;667318;MYRJM ;Cmpl;;667319;B>NJWT ;Adju;;667320;BDRK ;Loca;Adju;;;;
447145;110188;Deuteronomy 30:1;link;H#BT ;hif;667675;W;Conj;;667676;H#BT ;Pred;;667677;>L&LBBK ;Cmpl;;667678;BKL&HGWJM ;Loca;;;;;;;;;;;;;
447147;110201;Deuteronomy 30:2;link;#BT ;qal;667683;W;Conj;;667684;#BT ;Pred;;667685;<D&JHWH >LHJK ;Cmpl;;;;;;;;;;;;;;;;;
