clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
496343;335786;Psalms 148:6;link;J<BWR00;qal;806488;W;Conj;;806489;L> ;Nega;;806490;J<BWR00;Pred;;;;;;;;;;;;;;;;;;;;;
496807;337705;Job 6:15;link;J<BRW00;qal;807809;K>PJQ NXLJM ;Adju;;807810;J<BRW00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
496996;338355;Job 9:11;link;J<BR ;qal;808328;HN ;Intj;;808329;J<BR ;Pred;;808330;<LJ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
497182;338953;Job 11:16;link;<BRW ;qal;808823;<BRW ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
497295;339358;Job 13:13;link;J<BR ;qal;809128;W;Conj;;809129;J<BR ;Pred;;809130;<LJ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
497349;339550;Job 14:5;link;J<BWR00;qal;809275;W;Conj;;809276;L> ;Nega;;809277;J<BWR00;Pred;;;;;;;;;;;;;;;;;;;;;
497452;339904;Job 15:19;link;<BR ;qal;809564;W;Conj;;809565;L>&;Nega;;809566;<BR ;Pred;;809567;ZR ;Subj;;809568;BTWKM00;Cmpl;;;;;;;;;;;;;
497585;340385;Job 17:11;link;<BRW ;qal;809940;JMJ ;Subj;;809941;<BRW ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
497669;340683;Job 19:8;link;><BWR ;qal;810177;W;Conj;;810178;L> ;Nega;;810179;><BWR ;Pred;;;;;;;;;;;;;;;;;;;;;
497875;341424;Job 21:29;link;* <WBRJ ;qal;810750;H;Ques;;810751;L> ;Nega;;810752;* #>LTM ;Pred;;810753;<WBRJ DRK ;Objc;;;;;;;;;;;;;;;;;
498368;343236;Job 30:15;link;<BRH ;qal;812153;W;Conj;;812154;K<B ;Adju;;812155;<BRH ;Pred;;812156;J#<TJ00;Subj;;;;;;;;;;;;;;;;;
498620;344194;Job 33:18;link;<BR ;qal;812886;M<BR ;Pred;;812887;B#LX00;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
498649;344298;Job 33:28;link;<BR ;qal;812964;M<BR ;Pred;;812965;B#XT ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
498720;344540;Job 34:20;link;J<BRW ;qal;813150;W;Conj;;813151;J<BRW ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
498843;344988;Job 36:12;link;J<BRW ;qal;813499;B#LX ;Adju;;813500;J<BRW ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
498951;345395;Job 37:21;link;<BRH ;qal;813799;W;Conj;;813800;RWX ;Subj;;813801;<BRH ;Pred;;;;;;;;;;;;;;;;;;;;;
499596;347900;Proverbs 4:15;link;T<BR&;qal;815588;>L&;Nega;;815589;T<BR&;Pred;;815590;BW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
499598;347906;Proverbs 4:15;link;<BWR00;qal;815593;W;Conj;;815594;<BWR00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
499797;348638;Proverbs 7:8;link;<BR ;qal;816107;<BR ;PreC;;816108;B#WQ ;Cmpl;;816109;>YL PNH ;Adju;;;;;;;;;;;;;;;;;;;;;
499911;349089;Proverbs 8:29;link;J<BRW&;qal;816392;W;Conj;;816393;MJM ;Subj;;816394;L> ;Nega;;816395;J<BRW&;Pred;;816396;PJW ;Objc;;;;;;;;;;;;;
499978;349290;Proverbs 9:15;link;* <BRJ&;qal;816552;* LQR> ;Pred;;816553;L<BRJ&DRK ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
500049;349541;Proverbs 10:25;link;<BWR ;qal;816729;K<BWR ;Pred;;816730;SWPH ;Subj;;;;;;;;;;;;;;;;;;;;;;;;;
500689;351938;Proverbs 19:11;link;<BR ;qal;818420;<BR ;Pred;;818421;<L&P#<00;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
500896;352725;Proverbs 22:3;link;<BRW ;qal;818936;W;Conj;;818937;PTJJM ;Subj;;818938;<BRW ;Pred;;;;;;;;;;;;;;;;;;;;;
501144;353653;Proverbs 24:30;link;<BRTJ ;qal;819610;<L&#DH >J#&<YL ;Cmpl;;819611;<BRTJ ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
501255;354108;Proverbs 26:10;link;* <BRJM00;qal;819890;W;Conj;;819891;* #KR ;PreC;;819892;<BRJM00;Objc;;;;;;;;;;;;;;;;;;;;;
501271;354169;Proverbs 26:17;link;* <BR ;qal;819929;<BR ;Subj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
501336;354404;Proverbs 27:12;link;<BRW ;qal;820093;PT>JM ;Subj;;820094;<BRW ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
501882;356385;Ruth 2:8;link;T<BWRJ ;qal;821511;W;Conj;;821512;GM ;Modi;;821513;L> ;Nega;;821514;T<BWRJ ;Pred;;821515;MZH ;Cmpl;;;;;;;;;;;;;
502088;357122;Ruth 4:1;link;<BR ;qal;822070;W;Conj;;822071;HNH ;Intj;;822072;HG>L ;Subj;;822073;<BR ;PreC;;;;;;;;;;;;;;;;;
502280;357912;Song_of_songs 2:11;link;<BR ;qal;822591;KJ&;Conj;;822592;HNH ;Intj;;822593;HSTJW ;Subj;;822594;<BR ;Pred;;;;;;;;;;;;;;;;;
502323;358069;Song_of_songs 3:4;link;<BRTJ ;qal;822695;#;Rela;;822696;<BRTJ ;Pred;;822697;MHM ;Cmpl;;;;;;;;;;;;;;;;;;;;;
502442;358518;Song_of_songs 5:5;link;* <BR ;qal;822957;W;Conj;;822958;>YB<TJ ;Subj;;822959;MWR <BR ;Objc;;822960;<L KPWT HMN<WL00;Adju;;;;;;;;;;;;;;;;;
502445;358530;Song_of_songs 5:6;link;<BR ;qal;822967;<BR ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
502477;358632;Song_of_songs 5:13;link;* <BR00;qal;823033;* NVPWT ;PreC;;823034;MWR <BR00;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
503706;363730;Lamentations 1:12;link;* <BRJ ;qal;826320;KL&<BRJ DRK ;Voct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
503839;364264;Lamentations 2:15;link;* <BRJ ;qal;826682;* SPQW ;Pred;;826683;<LJK ;Cmpl;;826684;KPJM ;Objc;;826685;KL&<BRJ DRK ;Subj;;;;;;;;;;;;;;;;;
503980;364776;Lamentations 3:44;link;<BWR ;qal;827035;M<BWR ;Pred;;827036;TPLH00;Subj;;;;;;;;;;;;;;;;;;;;;;;;;
504106;365244;Lamentations 4:21;link;T<BR&;qal;827342;GM&<LJK ;Cmpl;;827343;T<BR&;Pred;;827344;KWS ;Subj;;;;;;;;;;;;;;;;;;;;;
504226;365913;Esther 1:19;link;J<BWR ;qal;827669;W;Conj;;827670;L> ;Nega;;827671;J<BWR ;Pred;;;;;;;;;;;;;;;;;;;;;
504344;366714;Esther 3:3;link;<WBR ;qal;828074;MDW< ;Ques;;828075;>TH ;Subj;;828076;<WBR ;PreC;;828077;>T MYWT HMLK00;Objc;;;;;;;;;;;;;;;;;
504490;367519;Esther 4:17;link;J<BR ;qal;828496;W;Conj;;828497;J<BR ;Pred;;828498;MRDKJ ;Subj;;;;;;;;;;;;;;;;;;;;;
504878;369840;Esther 9:27;link;J<BWR ;qal;829696;W;Conj;;829697;L> ;Nega;;829698;J<BWR ;Pred;;;;;;;;;;;;;;;;;;;;;
504882;369890;Esther 9:28;link;J<BRW ;qal;829710;W;Conj;;829711;JMJ HPWRJM H>LH ;Subj;;829712;L> ;Nega;;829713;J<BRW ;Pred;;829714;MTWK HJHWDJM ;Cmpl;;;;;;;;;;;;;
506168;375969;Daniel 9:11;link;<BRW ;qal;833501;W;Conj;;833502;KL&J#R>L ;Subj;;833503;<BRW ;Pred;;833504;>T&TWRTK ;Objc;;;;;;;;;;;;;;;;;
506420;377128;Daniel 11:10;link;<BR ;qal;834228;W;Conj;;834229;<BR ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
506558;377767;Daniel 11:40;link;<BR00;qal;834647;W;Conj;;834648;<BR00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
507582;384047;Nehemiah 2:14;link;><BR ;qal;837615;W;Conj;;837616;><BR ;Pred;;837617;>L&#<R H<JN W>L&BRKT HMLK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
507584;384064;Nehemiah 2:14;link;<BR ;qal;837622;L<BR ;Pred;;837623;TXTJ00;Adju;;;;;;;;;;;;;;;;;;;;;;;;;
