clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
444360;95352;Deuteronomy 4:9;link;JSWRW ;qal;659201;W;Conj;;659202;PN&;Conj;;659203;JSWRW ;Pred;;659204;MLBBK ;Cmpl;;659205;KL JMJ XJJK ;Time;;;;;;;;;
444633;96929;Deuteronomy 5:32;link;TSRW ;qal;660038;L> ;Nega;;660039;TSRW ;Pred;;660040;JMJN W#M>L00;Cmpl;;;;;;;;;;;;;;;;;
444742;97490;Deuteronomy 7:4;link;JSJR ;hif;660351;KJ&;Conj;;660352;JSJR ;Pred;;660353;>T&BNK ;Objc;;660354;M>XRJ ;Cmpl;;;;;;;;;;;;;
444790;97746;Deuteronomy 7:15;link;HSJR ;hif;660494;W;Conj;;660495;HSJR ;Pred;;660496;JHWH ;Subj;;660497;MMK ;Cmpl;;660498;KL&XLJ ;Objc;;;;;;;;;
444986;98715;Deuteronomy 9:12;link;SRW ;qal;661071;SRW ;Pred;;661072;MHR ;Modi;;661073;MN&HDRK ;Cmpl;;;;;;;;;;;;;;;;;
445006;98798;Deuteronomy 9:16;link;SRTM ;qal;661125;SRTM ;Pred;;661126;MHR ;Modi;;661127;MN&HDRK ;Cmpl;;;;;;;;;;;;;;;;;
445209;99920;Deuteronomy 11:16;link;SRTM ;qal;661737;W;Conj;;661738;SRTM ;Pred;;;;;;;;;;;;;;;;;;;;;
445254;100178;Deuteronomy 11:28;link;SRTM ;qal;661882;W;Conj;;661883;SRTM ;Pred;;661884;MN&HDRK ;Cmpl;;;;;;;;;;;;;;;;;
445795;103204;Deuteronomy 17:11;link;TSWR ;qal;663544;L> ;Nega;;663545;TSWR ;Pred;;663546;MN&HDBR ;Cmpl;;663550;JMJN W#M>L00;Adju;Cmpl;;;;;;;;;;;;
445827;103350;Deuteronomy 17:17;link;JSWR ;qal;663646;W;Conj;;663647;L> ;Nega;;663648;JSWR ;Pred;;663649;LBBW ;Subj;;;;;;;;;;;;;
445839;103427;Deuteronomy 17:20;link;SWR ;qal;663683;W;Conj;;663684;LBLTJ SWR ;Pred;;663685;MN&HMYWH ;Cmpl;;663686;JMJN W#M>WL ;Adju;Cmpl;;;;;;;;;;;;
446165;105020;Deuteronomy 21:13;link;HSJRH ;hif;664673;W;Conj;;664674;HSJRH ;Pred;;664675;>T&#MLT #BJH ;Objc;;664676;M<LJH ;Cmpl;;;;;;;;;;;;;
446833;108356;Deuteronomy 28:14;link;TSWR ;qal;666698;W;Conj;;666699;L> ;Nega;;666700;TSWR ;Pred;;666701;MKL&HDBRJM ;Cmpl;;666707;JMJN W#M>WL ;Adju;Cmpl;;;;;;;;
447384;111391;Deuteronomy 31:29;link;SRTM ;qal;668376;W;Conj;;668377;SRTM ;Pred;;668378;MN&HDRK ;Cmpl;;;;;;;;;;;;;;;;;
447768;113070;Joshua 1:7;link;TSWR ;qal;669415;>L&;Nega;;669416;TSWR ;Pred;;669417;MMNW ;Cmpl;;669418;JMJN W#M>WL ;Adju;Cmpl;;;;;;;;;;;;
448386;116419;Joshua 7:13;link;HSJRKM ;hif;671292;<D&HSJRKM ;PreS;;671293;HXRM ;Objc;;671294;MQRBKM00;Cmpl;;;;;;;;;;;;;;;;;
448966;119786;Joshua 11:15;link;HSJR ;hif;673112;L>&;Nega;;673113;HSJR ;Pred;;673114;DBR ;Objc;;673115;MKL ;Cmpl;;;;;;;;;;;;;
449865;126330;Joshua 23:6;link;SWR&;qal;675854;LBLTJ SWR&;Pred;;675855;MMNW ;Cmpl;;675856;JMJN W#M>WL00;Cmpl;;;;;;;;;;;;;;;;;
449976;126975;Joshua 24:14;link;HSJRW ;hif;676218;W;Conj;;676219;HSJRW ;Pred;;676220;>T&>LHJM ;Objc;;;;;;;;;;;;;;;;;
450027;127203;Joshua 24:23;link;HSJRW ;hif;676362;HSJRW ;Pred;;676363;>T&>LHJ HNKR ;Objc;;;;;;;;;;;;;;;;;;;;;
450250;128547;Judges 2:17;link;SRW ;qal;677119;SRW ;Pred;;677120;MHR ;Modi;;677121;MN&HDRK ;Cmpl;;;;;;;;;;;;;;;;;
450471;129777;Judges 4:18;link;SWRH ;qal;677841;SWRH ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
450473;129779;Judges 4:18;link;SWRH ;qal;677843;SWRH ;Pred;;677844;>LJ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
450475;129784;Judges 4:18;link;JSR ;qal;677847;W;Conj;;677848;JSR ;Pred;;677849;>LJH ;Cmpl;;677850;H>HLH ;Cmpl;;;;;;;;;;;;;
